SUMMARY REPORT,,,
main_category,Total usd,Count,Avg of usd
Publishing,103713884.1,39874,2633.735852
Film & Video,346876031,63585,5532.57781
Music,166265791.1,63585,5532.57781
Food,346876031,51918,3356.870405
Design,103560172.7,63585,5532.57781
Crafts,103560172.7,24602,4209.934253
Games,103560172.7,24602,4209.934253
Comics,512132010,24602,4209.934253
Fashion,346876031,30070,17033.02657
Theater,103713884.1,63585,5532.57781
Art,166265791.1,39874,2633.735852
Photography,10387490.16,51918,3356.870405
Technology,574402020.9,8809,1179.190619
Dance,574402020.9,35231,16306.19488
Journalism,512132010,35231,16306.19488
Total,4074723513,621071,97565.93347
